Contenido,Título del vídeo,Fecha de publicacion del video ,Visualizaciones,Tiempo de visualización (horas),Suscriptores,Impresiones,Porcentaje de clics de las impresiones (%)
Gq0gGh4Uuww,Un Show con Diego y Roberto / EP21 Teorías Conspirativas,Jul 20 2024,133334,37225.7,1474,2419551,4.06
eAw4X3RfxlE,Un Show con Diego y Roberto / EP22 Juegos Olímpicos,"Jul 27, 2024",117547,34298.8,632,1400007,6.13
Vk-nfiyqcB0,Un Show con Diego y Roberto / EP24 Educación,"Aug 10, 2024",79601,25304.9,405,938063,6.05
xQA-o4FQVyo,Un Show con Diego y Roberto / EP23 Marketing es Arte,"Aug 3, 2024",53777,17371.4,232,578500,6.35
mmuOX5kbIn8,Un Show con Diego y Roberto / EP25 Música,"Aug 17, 2024",25847,7948.0,68,253358,7.56
IZquMem15DE,Un Show con Diego y Roberto / EP18 El Arte de Negociar,"Jun 29, 2024",25050,6602.1,273,433090,3.83
H6FSPl0Ql_w,Un Show con Diego y Roberto / EP 6 Terror,"Jan 13, 2024",21833,6136.7,203,336092,4.45
NyOW2zLErlw,Un Show con Diego y Roberto / EP7 Inteligencia Artificial,"Jan 20, 2024",18691,5688.4,112,208839,5.09
DCQrTMD6q4o,Un Show con Diego y Roberto / EP15 Amor y Desamor,"Jun 8, 2024",18509,5077.5,153,321561,4.04
nm5ptE_pTYs,Un Show con Diego y Roberto / EP20 Literatura,"Jul 13, 2024",11361,3350.2,60,175024,4.06
FZ5iXkk4ljE,Un Show con Diego y Roberto / EP19 Viajes por el Mundo,"Jul 6, 2024",11347,3470.8,34,157782,3.98
FtBVjvEdnXg,Un Show con Diego y Roberto / EP17 Filosofía,"Jun 22, 2024",10419,2972.7,73,160704,4.08
O4wHH4b9rwo,Un Show con Diego y Roberto / EP12 Comedia,"Feb 24, 2024",8049,2538.7,23,79592,5.26
tBRph-L_Z70,Un Show con Diego y Roberto / EP13 Nostalgia,"May 25, 2024",7904,2341.0,32,106664,5.08
QcAi1hDNZpo,Un Show con Diego y Roberto / EP11 Gamificación,"Feb 17, 2024",6705,1860.6,25,84703,4.62
aOMesF6Hvio,Un Show con Diego y Roberto / EP 5 Anime / Part. 1,"Jan 6, 2024",5888,1641.5,23,67583,5.32
5ENYWLbBXRE,Un Show con Diego y Roberto / EP 4 Gastronomía,"Dec 30, 2023",5746,1843.1,19,83895,4.18
M13XnVLGIBc,Un Show con Diego y Roberto / EP14 Futbol,"Jun 1, 2024",5357,1588.6,17,57542,5.56
n0HfjXwEj9I,Un Show con Diego y Roberto / EP16 Artes Marciales Mixtas,"Jun 15, 2024",4452,1270.0,16,54594,4.89
K14Bf1ARylg,Un Show con Diego y Roberto / EP10 Metaverso,"Feb 10, 2024",4277,1187.9,17,51878,4.87
tBZbqpRXf94,Un Show con Diego y Roberto / EP8 Juegos de Mesa,"Jan 27, 2024",3660,1110.1,11,43840,4.37
i4TeqLxxpqI,Un Show con Diego y Roberto / EP 2 Gaming,"Dec 16, 2023",3449,1024.6,10,43760,4.73
P_sd6RB4GPI,Un Show con Diego y Roberto / EP 3 NFT,"Dec 23, 2023",3332,1040.8,9,38649,4.73
6O7sv3ZrnHg,Un Show con Diego y Roberto / EP 1 Freestyle,"Dec 9, 2023",3168,731.7,23,41106,4.04
F6mnUKIhBtI,"""Comprar facturas es un delito"" #shortvideo #impuestos #facturas #delito #foryou","Aug 7, 2024",3018,18.6,5,6322,0.43
wfl6a8yzvXE,Un Show con Diego y Roberto / EP 5 Anime / Part. 2,"Jan 6, 2024",2299,346.4,2,15964,5.87
doa7nyce-H0,Un Show con Diego y Roberto / EP9 Esports,"Feb 3, 2024",2170,713.151,3,29270,4.36
ek8u0MD26EM,"""Ya no sentí las mejores vibras"" #parati #foryou #entrevista #farandula #chisme #shortvideo","Aug 13, 2024",1676,10.0,2,7673,0.23
RXKkWcCOmt0,"""En su momento le lloré"" -Karla Panini #podcast #karlapanini #viral #chisme #parati","Mar 1, 2024",1347,22.6,2,13002,5.48
W0wSZGUjrSU,"""Super mamá"" #foryou #podcast #entrenimiento #parati #hijos","Aug 19, 2024",1079,5.3,0,2723,0.4
ySUb1DzewyY,"""Lo resolví"" #podcast #foryou #parati #mujerespoderosas #maternidad","Aug 11, 2024",1006,6.8,1,8695,0.23
dHtmjIjCjn0,Diana Perla Chapa nos cuenta su experiencia con los Ovnis. #viral #ovnis,"Aug 16, 2023",772,10.4,5,9312,5.26
v-0VyjO5d6c,"D'Influencers EP22 ""Extraordinaria: ""Cazadora de OVNIS, Manager y Mamá de Tatiana""-Diana Perla Chapa","Aug 7, 2023",650,150.6,1,8037,5.34
vzWXg94OjqE,"""Es parte de la enfermedad"" #cancer #informacion #parati #foryou #podcast #shortvideo","Aug 10, 2024",533,3.4,0,9550,0.27
ejF32Ur18Ag,"""Vivíamos al lado de un río"" #shortvideo #podcast #parati #rio #entretenimiento #foryou","Aug 9, 2024",524,3.1,0,8682,0.06
gxGZPC0J880,"""Esta cañón"" #podcast #parati #foryou #entrevista #entretenimiento #juegos #fifa","Aug 12, 2024",472,2.7,1,8498,0.15
UehjsAQDivU,"""Me la pasaba divertidísimo"" #foryou #entrenimiento #podcast #parati #shortvideo","Aug 20, 2024",456,2.9,0,1611,1.06
Cqc4Z_jExoc,Amor no es Sinónimo de Felicidad - Nilda Chiaraviglio D'Influencers T2 EP4,"Apr 29, 2024",427,107.6,3,8527,3.88
U6yabXxybtA,“Dueño de Multimedios me Corrió y se Arrepintió” - Jesús Soltero - EP.4 Palomeando,"Nov 3, 2023",345,66.8,1,6486,3.81
lFFNgDOcDVU,Teaser - Un Show - EP 8 - Juegos de Mesa,"Jan 26, 2024",330,3.0,0,6487,2
4u6wBxIMEdg,Exclusiva: Campeones de Clavado Sincronizado de México.,"Aug 2, 2024",291,6.4,1,19230,1.22
Rulme66dVRM,DAME 5 - Odin Ciani Periodista deportivo desde los Juegos Olímpicos (París 2024),"Jul 29, 2024",243,8.8,2,27025,0.67
